"herd"	"sowid"	"litter"	"lmort"	"herdtype"	"year"	"month"	"quarter"	"sow_parity"	"sow_tx"	"dead"	"lsize"	"n"	"stillb"
30	30161	3963	0	0	1991	3	1	3	0	0	12	11	1
30	30095	3812	0	0	1990	12	4	5	0	0	11	11	0
30	30010	3646	0	0	1990	12	4	1	0	0	1	5	5
30	30164	3971	0	0	1991	9	3	4	0	0	11	8	0
30	30012	3652	1	0	1991	10	4	3	0	1	12	11	0
30	30145	3922	0	0	1991	5	2	4	0	0	16	7	1
30	30118	3859	0	0	1991	6	2	5	0	0	14	12	1
30	30173	3989	1	0	1991	1	1	2	0	1	13	10	0
30	30116	3856	0	0	1991	8	3	6	0	0	14	11	1
30	30006	3634	0	0	1990	11	4	1	0	0	9	10	0
30	30027	3692	0	0	1991	7	3	2	0	0	11	10	0
30	30029	3696	0	0	1991	8	3	2	0	0	14	11	0
30	30140	3908	0	0	1990	12	4	3	0	0	16	13	0
30	30148	3930	0	0	1991	9	3	1	0	0	8	9	1
30	30183	4004	1	0	1991	11	4	1	0	1	10	11	0
30	30162	3967	0	0	1991	8	3	4	0	0	14	10	1
30	30143	3916	1	0	1991	6	2	4	0	1	12	11	0
30	30141	3911	1	0	1991	2	1	3	0	2	13	6	0
30	30139	3907	1	0	1991	9	3	1	0	2	9	18	1
30	30032	3701	1	0	1991	3	1	1	0	1	9	22	0
30	30021	3677	1	0	1991	6	2	2	0	3	14	12	0
30	30156	3947	0	0	1990	10	4	2	0	0	11	10	1
30	30122	3869	0	0	1990	10	4	1	0	0	11	11	0
30	30048	3731	0	0	1991	5	2	1	0	0	12	12	0
30	30015	3660	0	0	1991	11	4	3	0	0	12	11	0
30	30089	3800	0	0	1991	8	3	7	0	0	14	8	2
30	30173	3990	1	0	1991	6	2	3	0	4	11	13	0
30	30082	3784	0	0	1991	9	3	7	0	0	11	11	0
30	30142	3913	1	0	1991	6	2	4	0	1	11	12	0
30	30089	3798	1	0	1990	10	4	5	0	11	10	20	2
30	30146	3926	1	0	1991	11	4	5	0	3	14	13	0
30	30002	3625	0	0	1991	8	3	3	0	0	7	8	2
30	30047	3729	0	0	1991	5	2	1	0	0	9	11	0
30	30145	3921	1	0	1991	1	1	3	0	1	13	10	2
30	30123	3870	0	0	1991	8	3	1	0	0	7	10	0
30	30168	3978	0	0	1991	5	2	3	0	0	10	11	0
30	30087	3794	0	0	1991	7	3	7	0	0	10	10	1
30	30052	3737	0	0	1991	11	4	2	0	0	11	11	0
30	30012	3651	0	0	1991	5	2	2	0	0	12	11	0
30	30001	3620	0	0	1991	2	1	2	0	0	11	13	0
30	30016	3663	0	0	1991	10	4	3	0	0	13	11	0
30	30086	3790	1	0	1990	11	4	5	0	3	14	12	1
30	30119	3862	0	0	1991	5	2	5	0	0	14	11	0
30	30092	3804	1	0	1990	11	4	5	0	1	14	13	0
30	30152	3939	1	0	1991	2	1	3	0	2	17	13	0
30	30075	3768	0	0	1990	11	4	5	0	0	12	10	1
30	30023	3681	0	0	1991	1	1	1	0	0	10	11	0
30	30169	3979	0	0	1990	12	4	2	0	0	12	10	1
30	30177	3997	1	0	1991	10	4	1	0	1	8	22	0
30	30135	3897	0	0	1990	11	4	3	0	0	10	10	0
30	30085	3789	0	0	1991	7	3	1	0	0	13	13	0
30	30181	4002	0	0	1991	11	4	1	0	0	10	11	0
30	30138	3905	1	0	1991	4	2	4	0	1	12	11	3
30	30120	3864	1	0	1991	5	2	5	0	2	14	12	0
30	30112	3844	1	0	1990	10	4	4	0	5	12	15	0
