herd,sowid,litter,lmort,herdtype,year,month,quarter,sow_parity,sow_tx,dead,lsize,n,stillb
34,34073,5058,1,1,1991,1,1,5,0,5,11,11,1
37,37309,6224,1,1,1991,3,1,1,1,3,15,15,1
25,25078,1661,0,0,1991,10,4,3,2,0,6,9,1
28,28069,3541,0,0,1990,11,4,2,3,0,10,10,4
21,21058,416,0,0,1991,4,2,1,4,0,6,10,0
36,36075,5496,0,1,1991,8,3,2,5,0,6,8,6
23,23025,997,1,0,1991,4,2,9,6,11,14,15,3
33,33036,4665,1,1,1991,2,1,6,7,6,16,16,5
33,33132,4910,1,1,1991,6,2,1,9,2,12,12,0
37,37013,5556,1,1,1990,10,4,8,0,1,9,10,1
37,37397,6339,0,1,1991,11,4,1,0,0,10,8,0
25,25148,1788,0,0,1991,5,2,7,0,0,15,10,4
27,27036,3059,0,0,1990,12,4,4,0,0,14,10,0
33,33120,4889,0,1,1991,9,3,2,0,0,9,10,0
24,24104,1457,0,0,1991,6,2,1,0,0,6,6,0
26,26074,2409,0,0,1990,10,4,4,0,0,11,11,0
25,25317,2176,0,0,1991,2,1,3,0,0,8,11,1
30,30161,3963,0,0,1991,3,1,3,0,0,12,11,1
31,31186,4375,1,0,1991,5,2,8,0,3,11,10,2
37,37382,6324,0,1,1991,9,3,1,0,0,13,10,0
22,22086,636,0,0,1990,11,4,1,0,0,10,10,1
20,20002,4,1,0,1991,7,3,4,0,3,9,12,0
25,25238,1977,0,0,1991,5,2,5,0,0,12,11,3
37,37058,5658,1,1,1991,2,1,5,0,3,16,12,1
31,31241,4511,1,0,1990,10,4,4,0,1,11,10,1
27,27014,3002,0,0,1991,6,2,7,0,0,12,9,0
23,23120,1197,1,0,1991,9,3,2,0,2,15,14,0
31,31012,4034,0,0,1990,10,4,2,0,0,12,10,0
31,31244,4518,0,0,1991,1,1,4,0,0,13,8,0
31,31249,4529,0,0,1990,10,4,4,0,0,10,10,0
33,33053,4714,1,1,1991,4,2,5,0,1,4,4,0
26,26073,2407,1,0,1991,3,1,6,0,1,12,10,3
37,37238,6061,1,1,1991,1,1,3,0,3,5,10,0
34,34118,5169,0,1,1991,3,1,3,0,0,11,11,0
23,23034,1015,1,0,1990,12,4,5,0,1,13,10,2
22,22181,875,0,0,1991,10,4,2,0,0,11,10,0
31,31208,4425,1,0,1991,1,1,6,0,2,10,12,0
23,23054,1058,1,0,1991,9,3,5,0,2,12,12,0
27,27012,2996,1,0,1990,11,4,6,0,2,14,12,0
37,37077,5702,0,1,1991,8,3,6,0,0,11,8,1
27,27141,3300,0,0,1991,7,3,1,0,0,6,11,0
26,26102,2484,1,0,1991,6,2,5,0,3,12,13,3
33,33038,4669,1,1,1990,10,4,5,0,1,10,9,0
27,27186,3383,0,0,1991,2,1,2,0,0,14,9,0
31,31099,4243,1,0,1991,8,3,2,0,1,11,11,1
30,30095,3812,0,0,1990,12,4,5,0,0,11,11,0
22,22166,847,0,0,1991,9,3,2,0,0,11,10,0
37,37050,5640,1,1,1990,12,4,5,0,1,15,9,0
38,38005,6354,0,1,1991,9,3,5,0,0,9,9,3
22,22213,941,0,0,1991,2,1,6,0,0,13,11,1
25,25335,2221,0,0,1991,7,3,3,0,0,12,10,3
27,27060,3122,1,0,1991,5,2,4,0,2,13,12,0
33,33038,4670,1,1,1991,2,1,6,0,2,10,12,0
31,31126,4295,1,0,1991,4,2,1,0,1,12,12,0
31,31014,4040,0,0,1990,12,4,2,0,0,12,9,0
37,37169,5904,0,1,1991,10,4,8,0,0,13,10,1
30,30010,3646,0,0,1990,12,4,1,0,0,1,5,5
34,34117,5166,1,1,1991,4,2,3,0,1,12,12,1
24,24046,1333,0,0,1991,9,3,6,0,0,13,12,0
25,25138,1767,0,0,1991,1,1,7,0,0,10,11,0
25,25316,2173,0,0,1991,3,1,3,0,0,8,9,0
34,34081,5079,0,1,1991,7,3,6,0,0,12,12,2
30,30164,3971,0,0,1991,9,3,4,0,0,11,8,0
30,30012,3652,1,0,1991,10,4,3,0,1,12,11,0
22,22142,788,0,0,1991,10,4,3,0,0,11,10,1
22,22124,739,0,0,1991,6,2,4,0,0,14,11,0
31,31232,4492,1,0,1991,11,4,7,0,1,9,11,1
20,20024,56,0,0,1991,12,4,4,0,0,14,14,2
38,38009,6361,1,1,1991,4,2,5,0,1,7,9,2
38,38062,6482,1,1,1991,9,3,2,0,3,10,9,0
34,34095,5107,1,1,1991,1,1,4,0,3,15,14,0
37,37346,6288,0,1,1991,7,3,1,0,0,11,11,0
20,20123,244,1,0,1991,8,3,5,0,4,14,12,0
26,26312,2953,1,0,1991,8,3,1,0,1,13,13,0
26,26080,2424,0,0,1990,11,4,4,0,0,7,9,0
20,20033,76,0,0,1990,12,4,1,0,0,11,5,2
26,26055,2369,0,0,1991,5,2,6,0,0,11,11,1
20,20120,235,1,0,1991,5,2,5,0,2,13,10,1
30,30145,3922,0,0,1991,5,2,4,0,0,16,7,1
24,24020,1271,0,0,1991,10,4,8,0,0,9,9,0
25,25145,1783,1,0,1991,11,4,8,0,4,14,13,1
22,22126,744,1,0,1991,1,1,3,0,1,10,11,0
26,26241,2837,0,0,1991,3,1,1,0,0,12,10,0
34,34173,5289,1,1,1991,9,3,2,0,4,12,12,0
25,25331,2209,1,0,1991,6,2,1,0,7,11,13,1
34,34213,5341,1,1,1991,10,4,1,0,1,9,10,1
22,22013,491,0,0,1991,1,1,2,0,0,8,9,1
34,34044,5003,1,1,1991,3,1,7,0,1,9,11,0
27,27001,2977,1,0,1990,10,4,8,0,2,13,12,1
31,31276,4591,0,0,1991,2,1,3,0,0,10,11,0
30,30118,3859,0,0,1991,6,2,5,0,0,14,12,1
34,34020,4966,1,1,1991,5,2,3,0,1,10,12,0
34,34210,5338,1,1,1991,9,3,1,0,1,12,10,0
22,22206,927,0,0,1991,11,4,8,0,0,11,10,1
25,25075,1652,1,0,1991,5,2,2,0,1,0,11,0
33,33022,4633,1,1,1990,12,4,6,0,1,13,13,0
27,27074,3160,1,0,1991,10,4,4,0,1,12,11,1
37,37173,5913,1,1,1991,9,3,8,0,2,12,10,6
38,38022,6388,0,1,1990,11,4,2,0,0,7,9,1
37,37289,6182,1,1,1990,12,4,1,0,3,10,11,2
22,22186,884,0,0,1991,6,2,1,0,0,11,10,0
37,37277,6153,0,1,1991,3,1,2,0,0,11,8,0
30,30173,3989,1,0,1991,1,1,2,0,1,13,10,0
37,37025,5581,1,1,1991,10,4,8,0,2,9,8,5
31,31181,4365,0,0,1990,12,4,8,0,0,8,9,0
27,27121,3266,0,0,1991,9,3,2,0,0,11,9,0
23,23121,1199,1,0,1991,9,3,2,0,1,8,7,0
37,37137,5847,1,1,1990,12,4,3,0,1,15,9,0
38,38072,6497,1,1,1991,11,4,2,0,2,12,12,2
37,37052,5645,1,1,1990,12,4,5,0,2,13,11,0
31,31143,4322,0,0,1991,4,2,5,0,0,10,10,1
24,24117,1473,1,0,1991,8,3,1,0,1,12,18,0
36,36043,5441,1,1,1991,9,3,4,0,2,12,14,3
28,28037,3461,1,0,1991,2,1,6,0,4,16,13,1
25,25218,1931,1,0,1991,7,3,6,0,3,10,12,0
37,37257,6102,1,1,1990,11,4,2,0,1,11,10,0
37,37301,6209,1,1,1991,7,3,2,0,1,10,10,0
27,27164,3325,0,0,1991,5,2,5,0,0,13,8,0
26,26024,2300,0,0,1991,8,3,8,0,0,6,9,3
34,34059,5028,1,1,1991,7,3,6,0,2,9,9,3
24,24091,1435,0,0,1991,3,1,1,0,0,8,10,1
27,27090,3199,0,0,1991,7,3,7,0,0,14,12,2
23,23070,1096,1,0,1991,3,1,3,0,1,3,4,0
23,23056,1062,0,0,1990,10,4,3,0,0,9,9,1
22,22153,816,1,0,1991,2,1,1,0,1,12,12,0
31,31239,4509,0,0,1991,11,4,7,0,0,9,10,1
26,26276,2893,1,0,1991,5,2,1,0,1,14,10,0
26,26011,2267,0,0,1990,10,4,9,0,0,4,7,0
30,30116,3856,0,0,1991,8,3,6,0,0,14,11,1
24,24119,1475,1,0,1991,9,3,1,0,1,10,15,0
27,27117,3259,0,0,1991,8,3,2,0,0,14,11,0
31,31091,4225,1,0,1991,2,1,1,0,2,11,10,0
27,27064,3132,0,0,1991,1,1,3,0,0,16,9,0
24,24135,1496,0,0,1991,5,2,4,0,0,10,11,3
37,37318,6240,0,1,1991,4,2,1,0,0,10,10,0
27,27007,2985,1,0,1990,10,4,6,0,1,11,9,2
37,37048,5636,0,1,1991,2,1,5,0,0,10,10,1
25,25224,1942,1,0,1991,3,1,5,0,2,11,12,1
20,20084,160,1,0,1991,5,2,7,0,2,11,10,1
20,20093,177,1,0,1991,1,1,6,0,1,13,12,0
37,37233,6049,0,1,1991,3,1,3,0,0,11,10,0
27,27167,3333,0,0,1990,12,4,4,0,0,8,10,1
38,38081,6506,1,1,1991,9,3,1,0,5,8,13,0
31,31072,4184,1,0,1991,11,4,3,0,1,10,12,0
30,30006,3634,0,0,1990,11,4,1,0,0,9,10,0
37,37200,5967,1,1,1990,12,4,4,0,2,13,11,3
33,33122,4893,0,1,1991,9,3,2,0,0,12,10,0
31,31223,4465,0,0,1991,4,2,6,0,0,12,11,1
37,37368,6311,1,1,1991,8,3,1,0,1,13,11,1
24,24082,1414,1,0,1991,3,1,2,0,1,10,9,1
37,37109,5781,0,1,1991,2,1,4,0,0,11,10,1
31,31076,4192,1,0,1991,7,3,2,0,1,13,10,0
37,37274,6147,0,1,1991,7,3,3,0,0,14,10,0
20,20091,172,1,0,1991,3,1,6,0,1,13,12,0
37,37111,5787,0,1,1991,6,2,5,0,0,6,8,0
36,36011,5367,1,1,1991,3,1,2,0,1,11,11,0
20,20051,118,0,0,1991,8,3,1,0,0,14,14,0
33,33054,4717,1,1,1991,4,2,5,0,1,10,11,0
26,26165,2648,0,0,1991,6,2,3,0,0,10,10,0
25,25161,1811,1,0,1990,11,4,6,0,1,14,12,3
27,27173,3352,1,0,1991,11,4,6,0,2,15,12,0
27,27122,3268,1,0,1991,10,4,2,0,2,12,11,1
38,38098,6538,1,1,1991,7,3,6,0,3,14,12,2
27,27036,3061,1,0,1991,10,4,6,0,2,16,12,1
23,23030,1008,1,0,1991,6,2,7,0,4,11,11,1
25,25242,1988,1,0,1991,5,2,5,0,3,13,11,0
26,26151,2612,1,0,1991,6,2,4,0,1,8,8,3
30,30027,3692,0,0,1991,7,3,2,0,0,11,10,0
30,30029,3696,0,0,1991,8,3,2,0,0,14,11,0
26,26238,2831,0,0,1991,3,1,1,0,0,8,7,0
36,36103,5533,1,1,1990,11,4,7,0,1,9,9,0
23,23007,961,0,0,1991,9,3,13,0,0,6,6,1
31,31015,4044,1,0,1991,5,2,3,0,1,13,10,0
30,30140,3908,0,0,1990,12,4,3,0,0,16,13,0
26,26190,2716,0,0,1991,5,2,2,0,0,4,10,2
25,25222,1937,0,0,1990,12,4,4,0,0,9,8,2
38,38022,6390,1,1,1991,8,3,4,0,3,13,13,0
30,30148,3930,0,0,1991,9,3,1,0,0,8,9,1
23,23075,1109,0,0,1991,4,2,5,0,0,13,13,0
37,37109,5782,1,1,1991,7,3,5,0,1,13,10,1
25,25037,1567,0,0,1991,10,4,1,0,0,11,8,1
27,27063,3130,1,0,1991,1,1,2,0,2,11,12,3
26,26159,2631,0,0,1991,3,1,4,0,0,11,10,0
